title_id,title,publisher,isbn,rank,weeks_on_list,list_id,bestsellers_date
120,EXTREME OWNERSHIP,Macmillan Audio,9781427264305,7,0,13,2018-12-22
121,21 LESSONS FOR THE 21ST CENTURY,Random House Audio,9780525639862,8,0,13,2018-12-22
122,THE POWER OF HABIT,Random House Audio,9780307966650,9,0,13,2018-12-22
123,WE'RE GOING TO NEED MORE WINE,HarperAudio,9780062694010,10,0,13,2018-12-22
124,I WILL FIND YOU,Hachette Audio,9781478922650,11,0,13,2018-12-22
51,MY OWN WORDS,Simon & Schuster Audio,9781508226291,12,0,13,2018-12-22
125,HOW TO CHANGE YOUR MIND,Penguin Audio,9780525627166,13,0,13,2018-12-22
126,HEAVY,Simon & Schuster Audio,9781508265818,14,0,13,2018-12-22
25,BEASTIE BOYS BOOK,Random House Audio,9781984828217,15,0,13,2018-12-22
22,LEADERSHIP,Simon & Schuster,9781476795928,1,0,14,2018-12-22
127,DARE TO LEAD,Random House,9780399592522,2,0,14,2018-12-22
30,BAD BLOOD,Knopf,9781524731656,3,0,14,2018-12-22
128,ATOMIC HABITS,Avery,9780735211292,4,0,14,2018-12-22
129,PRINCIPLES,Simon & Schuster,9781501124020,5,0,14,2018-12-22
120,EXTREME OWNERSHIP,St. Martin's,9781250183866,6,0,14,2018-12-22
52,SHOE DOG,Scribner,9781501135927,7,0,14,2018-12-22
130,THE MAGNOLIA STORY,W Publishing/Thomas Nelson,9780718079185,8,0,14,2018-12-22
56,"THINKING, FAST AND SLOW","Farrar, Straus & Giroux",9780374533557,9,0,14,2018-12-22
57,GRIT,Scribner,9781501111112,10,0,14,2018-12-22
20,SAPIENS,Harper Perennial,9780062316110,1,0,15,2018-12-22
24,BRIEF ANSWERS TO THE BIG QUESTIONS,Bantam,9781984819192,2,0,15,2018-12-22
121,21 LESSONS FOR THE 21ST CENTURY,Spiegel & Grau,9780525512172,3,0,15,2018-12-22
35,ASTROPHYSICS FOR PEOPLE IN A HURRY,Norton,9780393609394,4,0,15,2018-12-22
131,WHAT IF?,Houghton Mifflin Harcourt,9780544272996,5,0,15,2018-12-22
125,HOW TO CHANGE YOUR MIND,Penguin Press,9781594204227,6,0,15,2018-12-22
61,HOMO DEUS,Harper/HarperCollins,9780062464347,7,0,15,2018-12-22
56,"THINKING, FAST AND SLOW","Farrar, Straus & Giroux",9780374533557,8,0,15,2018-12-22
59,THE BODY KEEPS THE SCORE,Penguin,9780143127741,9,0,15,2018-12-22
132,WHEN BREATH BECOMES AIR,Random House,9780812988413,10,0,15,2018-12-22
36,THE MAMBA MENTALITY,"Melcher/MCD/Farrar, Straus & Giroux",9780374201234,1,0,16,2018-12-22
133,THE BIG FELLA,Harper,9780062380227,2,0,16,2018-12-22
134,THIS IS THE DAY,WaterBrook,9780525650300,3,0,16,2018-12-22
135,RACING TO THE FINISH,Thomas Nelson,9780785221609,4,0,16,2018-12-22
52,SHOE DOG,Scribner,9781501135927,5,0,16,2018-12-22
136,THE STORY OF BASEBALL: IN 100 PHOTOGRAPHS,Sports Illustrated,9781547800018,6,0,16,2018-12-22
137,BASKETBALL: A LOVE STORY,Crown/Archetype,9781524761783,7,0,16,2018-12-22
138,QUARTERBACK,Doubleday,9780385543033,8,0,16,2018-12-22
139,THE PATS,Houghton Mifflin Harcourt,9781328917409,9,0,16,2018-12-22
140,BELICHICK,Houghton Mifflin Harcourt,9780544785748,10,0,16,2018-12-22
4,WHERE THE CRAWDADS SING,Putnam,9780735219113,1,19,1,2019-01-19
141,LIAR LIAR,"Little, Brown",9780316418256,2,1,1,2019-01-19
8,THE TATTOOIST OF AUSCHWITZ,Harper,9780062797155,3,19,1,2019-01-19
1,THE RECKONING,Doubleday,9780385544153,4,13,1,2019-01-19
142,TURNING POINT,Delacorte,9780399179358,5,2,1,2019-01-19
143,AN ANONYMOUS GIRL,St. Martin's,9781250133748,6,2,1,2019-01-19
3036,AN ANONYMOUS GIRL,St. Martin's,9781250133748,6,2,1,2019-01-19
144,DEAL WITH THE DEVIL,Red Dress Press,9781943796229,7,1,1,2019-01-19
38,ELEANOR OLIPHANT IS COMPLETELY FINE,Penguin,9780735220690,8,22,1,2019-01-19
6,A DOG'S WAY HOME,Forge,9781250301895,9,6,1,2019-01-19
145,THE HOUSE NEXT DOOR,Grand Central,9781538713891,10,2,1,2019-01-19
146,SUMMONED TO THE THIRTEENTH GRAVE,St. Martin's,9781250149435,11,1,1,2019-01-19
147,SECURING CAITE,Stoker Aces,A00B07DVT7K5M,12,1,1,2019-01-19
10,NINE PERFECT STRANGERS,Flatiron,9781250069849,13,10,1,2019-01-19
148,A SOLDIER'S RETURN,Harlequin,9781488041778,14,1,1,2019-01-19
149,THE NEW IBERIA BLUES,Simon & Schuster,9781501176883,15,2,1,2019-01-19
16,BECOMING,Crown,9781524763138,1,10,2,2019-01-19
18,EDUCATED,Random House,9780399590511,2,48,2,2019-01-19
150,THE FIRST CONSPIRACY,Flatiron,9781250130334,3,2,2,2019-01-19
20,SAPIENS,Harper,9780062316110,4,56,2,2019-01-19
151,FACTFULNESS,Flatiron,9781250123817,5,13,2,2019-01-19
30,BAD BLOOD,Knopf,9781524731663,6,24,2,2019-01-19
152,AI SUPERPOWERS,Houghton Mifflin Harcourt,9781328545862,7,2,2,2019-01-19
153,THE LIBRARY BOOK,Simon & Schuster,9781476740188,8,9,2,2019-01-19
154,WOMEN ROWING NORTH,Bloomsbury,9781632869609,9,1,2,2019-01-19
155,INHERITANCE,Knopf,9781524732714,10,1,2,2019-01-19
17,THE POINT OF IT ALL,Crown Forum,9781984825483,11,7,2,2019-01-19
156,THE TRUTHS WE HOLD,Penguin Press,9780525560715,12,2,2,2019-01-19
121,21 LESSONS FOR THE 21ST CENTURY,Spiegel & Grau,9780525512172,13,6,2,2019-01-19
125,HOW TO CHANGE YOUR MIND,Penguin Press,9781594204227,14,13,2,2019-01-19
157,ELON MUSK,Ecco/HarperCollins,9780062301260,15,5,2,2019-01-19
4665,ELON MUSK,Ecco/HarperCollins,9780062301260,15,5,2,2019-01-19
4,WHERE THE CRAWDADS SING,Putnam,9780735219090,1,20,3,2019-01-19
141,LIAR LIAR,"Little, Brown",9780316418249,2,1,3,2019-01-19
1,THE RECKONING,Doubleday,9780385544153,3,13,3,2019-01-19
142,TURNING POINT,Delacorte,9780399179358,4,2,3,2019-01-19
143,AN ANONYMOUS GIRL,St. Martin's,9781250133731,5,2,3,2019-01-19
3036,AN ANONYMOUS GIRL,St. Martin's,9781250133731,5,2,3,2019-01-19
3,FIRE AND BLOOD,Bantam,9781524796280,6,9,3,2019-01-19
158,THE ONLY WOMAN IN THE ROOM,Sourcebooks Landmark,9781492666868,7,2,3,2019-01-19
149,THE NEW IBERIA BLUES,Simon & Schuster,9781501176876,8,2,3,2019-01-19
2,EVERY BREATH,Grand Central,9781538728529,9,14,3,2019-01-19
10,NINE PERFECT STRANGERS,Flatiron,9781250069825,10,11,3,2019-01-19
159,THERE THERE,Knopf,9780525520375,11,13,3,2019-01-19
9,LONG ROAD TO MERCY,Grand Central,9781538761571,12,10,3,2019-01-19
160,VERSES FOR THE DEAD,Grand Central,9781538749241,13,3,3,2019-01-19
7,PAST TENSE,Delacorte,9780399593512,14,11,3,2019-01-19
114,CIRCE,"Little, Brown",9780316556347,15,8,3,2019-01-19
16,BECOMING,Crown,9781524763138,1,10,4,2019-01-19
150,THE FIRST CONSPIRACY,Flatiron,9781250130334,2,2,4,2019-01-19
18,EDUCATED,Random House,9780399590504,3,48,4,2019-01-19
17,THE POINT OF IT ALL,Crown Forum,9781984825483,4,7,4,2019-01-19
156,THE TRUTHS WE HOLD,Penguin Press,9780525560715,5,2,4,2019-01-19
121,21 LESSONS FOR THE 21ST CENTURY,Spiegel & Grau,9780525512172,6,6,4,2019-01-19
125,HOW TO CHANGE YOUR MIND,Penguin Press,9781594204227,7,15,4,2019-01-19
154,WOMEN ROWING NORTH,Bloomsbury,9781632869609,8,1,4,2019-01-19
153,THE LIBRARY BOOK,Simon & Schuster,9781476740188,9,10,4,2019-01-19
30,BAD BLOOD,Knopf,9781524731656,10,14,4,2019-01-19
155,INHERITANCE,Knopf,9781524732714,11,1,4,2019-01-19
19,KILLING THE SS,Holt,9781250165541,12,15,4,2019-01-19
24,BRIEF ANSWERS TO THE BIG QUESTIONS,Bantam,9781984819192,13,14,4,2019-01-19
22,LEADERSHIP,Simon & Schuster,9781476795928,14,18,4,2019-01-19
28,THE FIFTH RISK,Norton,9781324002642,15,14,4,2019-01-19
8,THE TATTOOIST OF AUSCHWITZ,Harper,9780062797155,1,20,5,2019-01-19
38,ELEANOR OLIPHANT IS COMPLETELY FINE,Penguin,9780735220690,2,33,5,2019-01-19
145,THE HOUSE NEXT DOOR,Grand Central,9781538713891,3,2,5,2019-01-19
6,A DOG'S WAY HOME,Forge,9781250301895,4,8,5,2019-01-19
43,LESS,Back Bay,9780316316132,5,35,5,2019-01-19
13,MILK AND HONEY,Andrews McMeel,9781449474256,6,145,5,2019-01-19
48,THE WIFE BETWEEN US,St. Martin's,9781250130945,7,11,5,2019-01-19
161,BIRD BOX,Ecco,9780062259660,8,2,5,2019-01-19
37,CRAZY RICH ASIANS,Anchor,9780345803788,9,39,5,2019-01-19
39,THE SUN AND HER FLOWERS,Andrews McMeel,9781449486792,10,68,5,2019-01-19
47,PACHINKO,Grand Central,9781455563920,11,44,5,2019-01-19
40,ONE DAY IN DECEMBER,Broadway,9780525574682,12,7,5,2019-01-19
162,THE POWER,Back Bay,9780316547604,13,2,5,2019-01-19
45,THE ALICE NETWORK,Morrow,9780062654199,14,11,5,2019-01-19
163,SOLD ON A MONDAY,Sourcebooks Landmark,9781492663997,15,10,5,2019-01-19
20,SAPIENS,Harper Perennial,9780062316110,1,36,6,2019-01-19
58,WHITE FRAGILITY,Beacon Press,9780807047415,2,28,6,2019-01-19
50,THE INNOCENT MAN,Bantam/Dell,9780345532015,3,45,6,2019-01-19
59,THE BODY KEEPS THE SCORE,Penguin,9780143127741,4,13,6,2019-01-19
55,JUST MERCY,Spiegel & Grau,9780812984965,5,136,6,2019-01-19
49,KILLERS OF THE FLOWER MOON,Vintage,9780307742483,6,42,6,2019-01-19
164,BEING MORTAL,Picador,9781250076229,7,69,6,2019-01-19
122,THE POWER OF HABIT,Random House,9780812981605,8,123,6,2019-01-19
57,GRIT,Scribner,9781501111112,9,21,6,2019-01-19
56,"THINKING, FAST AND SLOW","Farrar, Straus & Giroux",9780374533557,10,198,6,2019-01-19
165,THE IMMORTAL LIFE OF HENRIETTA LACKS,Broadway,9781400052189,11,217,6,2019-01-19
166,THE NEW JIM CROW,New Press,9781595586438,12,184,6,2019-01-19
52,SHOE DOG,Scribner,9781501135927,13,27,6,2019-01-19
62,BEAUTIFUL BOY,Mariner,9781328974716,14,19,6,2019-01-19
167,ENLIGHTENMENT NOW,Penguin,9780143111382,15,1,6,2019-01-19
64,"GIRL, WASH YOUR FACE",Thomas Nelson,9781400201655,1,41,7,2019-01-19
168,THE LIFE-CHANGING MAGIC OF TIDYING UP,Ten Speed,9781607747307,2,149,7,2019-01-19
67,THE SUBTLE ART OF NOT GIVING A F*CK,HarperOne/HarperCollins,9780062457714,3,110,7,2019-01-19
169,IT'S NOT SUPPOSED TO BE THIS WAY,Thomas Nelson,9780718039851,4,5,7,2019-01-19
68,YOU ARE A BADASS,Running Press,9780762447695,5,155,7,2019-01-19
170,CAN'T HURT ME,Lioncrest,9781544512280,6,4,7,2019-01-19
171,SALT FAT ACID HEAT,Simon & Schuster,9781476753836,7,14,7,2019-01-19
172,THE CLEAN PLATE,Goop Press/Grand Central Life & Style,9781538730461,8,2,7,2019-01-19
63,HOMEBODY,Harper Design,9780062801975,9,11,7,2019-01-19
173,BEST SELF,Dey St.,9780062911735,10,2,7,2019-01-19
73,WONDER,Knopf,9780375869020,1,180,8,2019-01-19
174,DRAGON PEARL,Disney/Hyperion,9781368013352,2,1,8,2019-01-19
3359,DRAGON PEARL,Disney/Hyperion,9781368013352,2,1,8,2019-01-19
80,WISHTREE,Feiwel and Friends,9781250043221,3,58,8,2019-01-19
175,MAX AND THE MIDKNIGHTS,Crown,9781101931080,4,2,8,2019-01-19
176,REFUGEE,Scholastic,9780545880831,5,41,8,2019-01-19
77,DOG DIARIES,jimmy patterson,9780316487481,6,6,8,2019-01-19
177,LOUISIANA'S WAY HOME,Candlewick,9780763694630,7,14,8,2019-01-19
74,WOMEN IN SCIENCE,Ten Speed,9781607749769,8,81,8,2019-01-19
82,MINECRAFT: THE CRASH,Del Rey,9780399180668,9,20,8,2019-01-19
178,BLENDED,Atheneum/Caitlyn Dlouhy,9781442495005,10,2,8,2019-01-19
83,DRAGONS LOVE TACOS,Dial,9780803736801,1,255,9,2019-01-19
179,LOVE FROM THE VERY HUNGRY CATERPILLAR,Grosset & Dunlap,9780448489322,2,20,9,2019-01-19
180,SUPERHEROES ARE EVERYWHERE,Philomel,9781984837493,3,2,9,2019-01-19
85,THE WONDERFUL THINGS YOU WILL BE,Random House,9780385376716,4,168,9,2019-01-19
88,THE DAY THE CRAYONS QUIT,Philomel,9780399255373,5,259,9,2019-01-19
87,P IS FOR PTERODACTYL,Sourcebooks Jabberwocky,9781492674313,6,7,9,2019-01-19
91,GRUMPY MONKEY,Random House,9780553537864,7,6,9,2019-01-19
181,PETE THE CAT: VALENTINE'S DAY IS COOL,HarperFestival,9780062198655,8,8,9,2019-01-19
86,"ROSIE REVERE, ENGINEER",Abrams,9781419708459,9,149,9,2019-01-19
90,THE BOOK WITH NO PICTURES,Dial,9780803741713,10,151,9,2019-01-19
95,DOG MAN,Scholastic,9781338236576,1,73,10,2019-01-19
93,DIARY OF A WIMPY KID,Amulet,9781419727436,2,514,10,2019-01-19
94,HARRY POTTER,Scholastic,9780590353427,3,513,10,2019-01-19
97,CAPTAIN UNDERPANTS,Scholastic,9781338271508,4,154,10,2019-01-19
99,TO ALL THE BOYS I'VE LOVED BEFORE,Simon & Schuster,9781442426740,5,27,10,2019-01-19
182,WINGS OF FIRE,Scholastic,9781338214482,6,38,10,2019-01-19
96,DORK DIARIES,Simon & Schuster,9781534426382,7,275,10,2019-01-19
