title,ISBN,author,genre,rating,number_of_ratings,number_of_reviews,pages,format,publish info,description,Votes
Writers & Lovers,ISBN not found,Lily King,"['Fiction', 'Contemporary', 'Romance', 'Literary Fiction', 'Audiobook', 'Adult', 'Novels']",4.02,142385,18551,324,Hardcover,"First published March 3, 2020","Following the breakout success of her critically acclaimed and award-winning novel Euphoria, Lily King returns with an unforgettable portrait of an artist as a young woman.Blindsided by her mother's sudden death, and wrecked by a recent love affair, Casey Peabody has arrived in Massachusetts in the summer of 1997 without a plan. Her mail consists of wedding invitations and final notices from debt collectors. A former child golf prodigy, she now waits tables in Harvard Square and rents a tiny, moldy room at the side of a garage where she works on the novel she's been writing for six years. At thirty-one, Casey is still clutching onto something nearly all her old friends have let go of: the determination to live a creative life. When she falls for two very different men at the same time, her world fractures even more. Casey's fight to fulfill her creative ambitions and balance the conflicting demands of art and life is challenged in ways that push her to the brink.Writers & Lovers follows Casey--a smart and achingly vulnerable protagonist--in the last days of a long youth, a time when every element of her life comes to a crisis. Written with King's trademark humor, heart, and intelligence, Writers & Lovers is a transfixing novel that explores the terrifying and exhilarating leap between the end of one phase of life and the beginning of another.",7318
If I Had Your Face,ISBN not found,Frances Cha,"['Fiction', 'Contemporary', 'Literary Fiction', 'Feminism', 'Adult', 'Asia', 'Audiobook']",3.75,51457,6634,288,Hardcover,"First published April 21, 2020","A debut novel set in contemporary Seoul, Korea, about four young women making their way in a world defined by impossibly high standards of beauty, secret room salons catering to wealthy men, strict social hierarchies, and K-pop fan mania. ""Even as a girl, I knew the only chance I had was to change my face... even before a fortune-teller told me so."" Kyuri is a beautiful woman with a hard-won job at a ""room salon,"" an exclusive bar where she entertains businessmen while they drink. Though she prides herself on her cold, clear-eyed approach to life, an impulsive mistake with a client may come to threaten her livelihood.Her roomate, Miho, is a talented artist who grew up in an orphanage but won a scholarship to study art in New York. Returning to Korea after college, she finds herself in a precarious relationship with the super-wealthy heir to one of Korea's biggest companies.Down the hall in their apartment building lives Ara, a hair stylist for whom two preoccupations sustain her: obsession with a boy-band pop star, and a best friend who is saving up for the extreme plastic surgery that is commonplace.And Wonna, one floor below, is a newlywed trying to get pregnant with a child that she and her husband have no idea how they can afford to raise and educate in the cutthroat economy.Together, their stories tell a tale that's seemingly unfamiliar, yet unmistakably universal in the way that their tentative friendships may have to be their saving grace.",5607
A Burning,ISBN not found,Megha Majumdar,"['Fiction', 'India', 'Contemporary', 'Literary Fiction', 'Audiobook', 'LGBT', 'Novels']",3.73,49557,6000,304,Hardcover,"First published June 2, 2020","For readers of Tommy Orange, Yaa Gyasi, and Jhumpa Lahiri, an electrifying debut novel about three unforgettable characters who seek to rise—to the middle class, to political power, to fame in the movies—and find their lives entangled in the wake of a catastrophe in contemporary India.Jivan is a Muslim girl from the slums, determined to move up in life, who is accused of executing a terrorist attack on a train because of a careless comment on Facebook. PT Sir is an opportunistic gym teacher who hitches his aspirations to a right-wing political party, and finds that his own ascent becomes linked to Jivan's fall. Lovely--an irresistible outcast whose exuberant voice and dreams of glory fill the novel with warmth and hope and humor--has the alibi that can set Jivan free, but it will cost her everything she holds dear.Taut, symphonic, propulsive, and riveting from its opening lines, A Burning has the force of an epic while being so masterfully compressed it can be read in a single sitting. Majumdar writes with dazzling assurance at a breakneck pace on complex themes that read here as the components of a thriller: class, fate, corruption, justice, and what it feels like to face profound obstacles and yet nurture big dreams in a country spinning toward extremism. An extraordinary debut.",4840
Luster,ISBN not found,Raven Leilani,"['Fiction', 'Contemporary', 'Literary Fiction', 'Audiobook', 'Romance', 'Adult', 'Race']",3.53,98872,13013,227,Hardcover,"First published August 4, 2020","Edie is just trying to survive. She’s messing up in her dead-end admin job in her all-white office, is sleeping with all the wrong men, and has failed at the only thing that meant anything to her, painting. No one seems to care that she doesn’t really know what she’s doing with her life beyond looking for her next hook-up. And then she meets Eric, a white middle-aged archivist with a suburban family, including a wife who has sort-of-agreed to an open marriage and an adopted black daughter who doesn’t have a single person in her life who can show her how to do her hair. As if navigating the constantly shifting landscape of sexual and racial politics as a young black woman wasn’t already hard enough, with nowhere else left to go, Edie finds herself falling head-first into Eric’s home and family.Razor-sharp, provocatively page-turning and surprisingly tender, Luster by Raven Leilani is a painfully funny debut about what it means to be young now.",4109
In An Instant,ISBN not found,Suzanne Redfearn,"['Fiction', 'Contemporary', 'Young Adult', 'Romance', 'Drama', 'Audiobook', 'Family']",4.35,92047,8406,319,Paperback,"First published March 1, 2020","Life is over in an instant for sixteen-year-old Finn Miller when a devastating car accident tumbles her and ten others over the side of a mountain. Suspended between worlds, she watches helplessly as those she loves struggle to survive.Impossible choices are made, decisions that leave the survivors tormented with grief and regret. Unable to let go, Finn keeps vigil as they struggle to reclaim their shattered lives. Jack, her father, who seeks vengeance against the one person he can blame other than himself; her best friend, Mo, who bravely searches for the truth as the story of their survival is rewritten; her sister Chloe, who knows Finn lingers and yearns to join her; and her mother, Ann, who saved them all but is haunted by her decisions. Finn needs to move on, but how can she with her family still in pieces?Heartrending yet ultimately redemptive, In an Instant is a story about the power of love, the meaning of family, and carrying on…even when it seems impossible.",2680
Oona Out of Order,ISBN not found,Margarita Montimore,"['Fiction', 'Time Travel', 'Audiobook', 'Science Fiction', 'Contemporary', 'Fantasy', 'Magical Realism']",3.86,82264,10977,339,Hardcover,"First published February 25, 2020","A remarkably inventive novel that explores what it means to live a life fully in the moment, even if those moments are out of order.It’s New Year’s Eve 1982, and Oona Lockhart has her whole life before her. At the stroke of midnight she will turn nineteen, and the year ahead promises to be one of consequence. Should she go to London to study economics, or remain at home in Brooklyn to pursue her passion for music and be with her boyfriend? As the countdown to the New Year begins, Oona faints and awakens thirty-two years in the future in her fifty-one-year-old body. Greeted by a friendly stranger in a beautiful house she’s told is her own, Oona learns that with each passing year she will leap to another age at random. And so begins Oona Out of Order...Hopping through decades, pop culture fads, and much-needed stock tips, Oona is still a young woman on the inside but ever changing on the outside. Who will she be next year? Philanthropist? Club Kid? World traveler? Wife to a man she’s never met? Surprising, magical, and heart-wrenching, Margarita Montimore has crafted an unforgettable story about the burdens of time, the endurance of love, and the power of family.",2414
The Death of Vivek Oji,ISBN not found,Akwaeke Emezi,"['Fiction', 'Contemporary', 'LGBT', 'Queer', 'Literary Fiction', 'Audiobook', 'Adult']",4.13,59078,8855,248,Hardcover,"First published August 4, 2020","Raised by a distant father and an understanding but overprotective mother, Vivek suffers disorienting blackouts, moments of disconnection between self and surroundings. As adolescence gives way to adulthood, Vivek finds solace in friendships with the warm, boisterous daughters of the Nigerwives, foreign-born women married to Nigerian men. But Vivek’s closest bond is with Osita, the worldly, high-spirited cousin whose teasing confidence masks a guarded private life. As their relationship deepens—and Osita struggles to understand Vivek’s escalating crisis—the mystery gives way to a heart-stopping act of violence in a moment of exhilarating freedom. Propulsively readable, teeming with unforgettable characters, The Death of Vivek Oji is a novel of family and friendship that challenges expectations—a dramatic story of loss and transcendence that will move every reader.",1995
Homeland Elegies,ISBN not found,Ayad Akhtar,"['Fiction', 'Historical Fiction', 'Literary Fiction', 'Contemporary', 'Politics', 'Audiobook', 'Novels']",4.14,23284,3003,368,Hardcover,"First published September 15, 2020","A deeply personal work about hope and identity in a nation coming apart at the seams, Homeland Elegies  blends fact and fiction to tell an epic story of belonging and dispossession in the world that 9/11 made. Part family drama, part social essay, part picaresque adventure -- at its heart, it is the story of a father, a son, and the country they both call home.Akhtar forges a new narrative voice to capture a country in which debt has ruined countless lives and our ideals have been sacrificed to the gods of finance, where a TV personality is president and immigrants live in fear, and where the nation's unhealed wounds of 9/11 wreak havoc around the world. Akhtar attempts to make sense of it all through the lens of a story about one family, from a heartland town in America to palatial suites in Central Europe to guerilla lookouts in the mountains of Afghanistan, and spares no one -- least of all himself -- in the process.",1731
Real Life,ISBN not found,Brandon  Taylor,"['Fiction', 'LGBT', 'Contemporary', 'Queer', 'Literary Fiction', 'Race', 'Audiobook']",3.81,33311,4929,329,Hardcover,"First published February 18, 2020","A novel of startling intimacy, violence, and mercy among friends in a Midwestern university town, from an electric new voice.Almost everything about Wallace is at odds with the Midwestern university town where he is working uneasily toward a biochem degree. An introverted young man from Alabama, black and queer, he has left behind his family without escaping the long shadows of his childhood. For reasons of self-preservation, Wallace has enforced a wary distance even within his own circle of friends—some dating each other, some dating women, some feigning straightness. But over the course of a late-summer weekend, a series of confrontations with colleagues, and an unexpected encounter with an ostensibly straight, white classmate, conspire to fracture his defenses while exposing long-hidden currents of hostility and desire within their community.  Real Life is a novel of profound and lacerating power, a story that asks if it’s ever really possible to overcome our private wounds, and at what cost.",1508
Migrations,ISBN not found,Charlotte McConaghy,"['Fiction', 'Science Fiction', 'Literary Fiction', 'Contemporary', 'Audiobook', 'Nature', 'Dystopia']",4.14,73316,10797,256,Hardcover,"First published August 4, 2020","Franny Stone has always been the kind of woman who is able to love but unable to stay. Leaving behind everything but her research gear, she arrives in Greenland with a singular purpose: to follow the last Arctic terns in the world on what might be their final migration to Antarctica. Franny talks her way onto a fishing boat, and she and the crew set sail, traveling ever further from shore and safety. But as Franny’s history begins to unspool—a passionate love affair, an absent family, a devastating crime—it becomes clear that she is chasing more than just the birds. When Franny's dark secrets catch up with her, how much is she willing to risk for one more chance at redemption?Epic and intimate, heartbreaking and galvanizing, Charlotte McConaghy's Migrations is an ode to a disappearing world and a breathtaking page-turner about the possibility of hope against all odds.",1305
The Guest List,here,Lucy Foley,"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Audiobook', 'Suspense', 'Adult']",3.82,998301,82294,313,Hardcover,"First published February 20, 2020","An alternative cover edition for this ISBN can be found here.It's the wedding of the year. But someone won't survive it.On a remote island off the coast of Ireland, guests gather to celebrate the wedding of Jules Keegan and Will Slater. Will is a rising television star, handsome and charming. Jules is a smart, ambitious magazine publisher. Though the sea is a little choppy and the cell service spotty, their wedding is everything you'd expect of a young power couple: designer dress, four-tiered cake, boutique whiskey, vintage champagne. Every detail has been curated to perfection. All that's left to orchestrate is the happiness.But perfection is for plans, and people are all too human. It's not long after the cake is cut and the champagne popped that resentments and petty jealousies come out. Worse yet, the latest barometer reading shows the weather has shifted from FAIR to CHANGEABLE, and dark clouds are looming overhead.Everyone on the island has a secret. Everyone has a motive. And someone won't leave this wedding alive...",73605
Home Before Dark,ISBN not found,Riley Sager,"['Horror', 'Thriller', 'Mystery', 'Mystery Thriller', 'Fiction', 'Audiobook', 'Adult']",4.07,194624,25456,389,Hardcover,"First published June 30, 2020","What was it like? Living in that house.Maggie Holt is used to such questions. Twenty-five years ago, she and her parents, Ewan and Jess, moved into Baneberry Hall, a rambling Victorian estate in the Vermont woods. They spent three weeks there before fleeing in the dead of night, an ordeal Ewan later recounted in a nonfiction book called House of Horrors. His tale of ghostly happenings and encounters with malevolent spirits became a worldwide phenomenon, rivaling The Amityville Horror in popularity—and skepticism.Today, Maggie is a restorer of old homes and too young to remember any of the events mentioned in her father’s book. But she also doesn’t believe a word of it. Ghosts, after all, don’t exist. When Maggie inherits Baneberry Hall after her father’s death, she returns to renovate the place to prepare it for sale. But her homecoming is anything but warm. People from the past, chronicled in House of Horrors, lurk in the shadows. And locals aren’t thrilled that their small town has been made infamous thanks to Maggie’s father. Even more unnerving is Baneberry Hall itself—a place filled with relics from another era that hint at a history of dark deeds. As Maggie experiences strange occurrences straight out of her father’s book, she starts to believe that what he wrote was more fact than fiction.In the latest thriller from New York Times bestseller Riley Sager, a woman returns to the house made famous by her father’s bestselling horror memoir. Is the place really haunted by evil forces, as her father claimed? Or are there more earthbound—and dangerous—secrets hidden within its walls?",35356
The Sun Down Motel,ISBN not found,Simone St. James,"['Mystery', 'Horror', 'Thriller', 'Fiction', 'Mystery Thriller', 'Paranormal', 'Audiobook']",4.02,149580,19188,327,Hardcover,"First published February 18, 2020","The secrets lurking in a rundown roadside motel ensnare a young woman, just as they did her aunt thirty-five years before, in this new atmospheric suspense novel from the national bestselling and award-winning author of The Broken Girls.Upstate NY, 1982. Every small town like Fell, New York, has a place like the Sun Down Motel. Some customers are from out of town, passing through on their way to someplace better. Some are locals, trying to hide their secrets. Viv Delaney works as the night clerk to pay for her move to New York City. But something isn't right at the Sun Down, and before long she's determined to uncover all of the secrets hidden…",35340
When No One Is Watching,ISBN not found,Alyssa Cole,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Audiobook', 'Horror', 'Contemporary']",3.50,94549,12760,352,Paperback,"First published September 1, 2020","Rear Window meets Get Out in this gripping thriller from a critically acclaimed and New York Times Notable author, in which the gentrification of a Brooklyn neighborhood takes on a sinister new meaning...Sydney Green is Brooklyn born and raised, but her beloved neighborhood seems to change every time she blinks. Condos are sprouting like weeds, FOR SALE signs are popping up overnight, and the neighbors she's known all her life are disappearing. To hold onto her community's past and present, Sydney channels her frustration into a walking tour and finds an unlikely and unwanted assistant in one of the new arrivals to the block--her neighbor Theo.But Sydney and Theo's deep dive into history quickly becomes a dizzying descent into paranoia and fear. Their neighbors may not have moved to the suburbs after all, and the push to revitalize the community may be more deadly than advertised.When does coincidence become conspiracy? Where do people go when gentrification pushes them out? Can Sydney and Theo trust each other--or themselves--long enough to find out before they too disappear?Featured in Parade, Essence, Bustle, Popsugar, Elle, Shondaland, Marie Claire, Buzzfeed, Entertainment Weekly, Good Housekeeping, Brit + Co, Real Simple, Lit Hub, Crime Reads, Blavity, Ms. Magazine, Hello Giggles, The New York Times, Town & Country, Newsweek, New York Post, Refinery29, Woman's World, Washington Post, the Skimm, Book Riot, Bookish, Huffington Post, and more!",33068
The Wives,ISBN not found,Tarryn Fisher,"['Thriller', 'Fiction', 'Mystery', 'Mystery Thriller', 'Audiobook', 'Suspense', 'Adult']",3.65,204094,22020,322,Hardcover,"First published December 30, 2019","Imagine that your husband has two other wives. You’ve never met the other wives. None of you know each other, and because of this unconventional arrangement, you can see your husband only one day a week. But you love him so much you don’t care. Or at least that’s what you’ve told yourself.But one day, while you’re doing laundry, you find a scrap of paper in his pocket—an appointment reminder for a woman named Hannah, and you just know it’s another of the wives.You thought you were fine with your arrangement, but you can’t help yourself: you track her down, and, under false pretenses, you strike up a friendship. Hannah has no idea who you really are. Then, Hannah starts showing up to your coffee dates with telltale bruises, and you realize she’s being abused by her husband. Who, of course, is also your husband. But you’ve never known him to be violent, ever.Who exactly is your husband, and how far would you go to find the truth? Would you risk your own life?And who is his mysterious third wife?",31924
The Searcher,ISBN not found,Tana French,"['Mystery', 'Fiction', 'Mystery Thriller', 'Thriller', 'Crime', 'Audiobook', 'Ireland']",3.79,126091,11733,451,Hardcover,"First published October 6, 2020","Retired detective Cal Hooper moves to a remote village in rural Ireland. His plans are to fix up the dilapidated cottage he's bought, to walk the mountains, to put his old police instincts to bed forever.Then a local boy appeals to him for help. His brother is missing, and no one in the village, least of all the police, seems to care. And once again, Cal feels that restless itch.Something is wrong in this community, and he must find out what, even if it brings trouble to his door.",25428
The Boy from the Woods,ISBN not found,Harlan Coben,"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Crime', 'Suspense', 'Audiobook']",3.95,99796,7471,371,Hardcover,"First published March 17, 2020","Thirty years ago, Wilde was found as a boy living feral in the woods, with no memory of his past. Now an adult, he still doesn't know where he comes from, and another child has gone missing.No one seems to take Naomi Pine's disappearance seriously, not even her father-with one exception. Hester Crimstein, a television criminal attorney, knows through her grandson that Naomi was relentlessly bullied at school. Hester asks Wilde-with whom she shares a tragic connection-to use his unique skills to help find Naomi.Wilde can't ignore an outcast in trouble, but in order to find Naomi he must venture back into the community where he has never fit in, a place where the powerful are protected even when they harbor secrets that could destroy the lives of millions . . . secrets that Wilde must uncover before it's too late.",23717
One by One,ISBN not found,Ruth Ware,"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Audiobook', 'Suspense', 'Adult']",3.73,187017,19393,372,Hardcover,"First published September 8, 2020","Getting snowed in at a beautiful, rustic mountain chalet doesn’t sound like the worst problem in the world, especially when there’s a breathtaking vista, a cozy fire, and company to keep you warm. But what happens when that company is eight of your coworkers…and you can’t trust any of them?When an off-site company retreat meant to promote mindfulness and collaboration goes utterly wrong when an avalanche hits, the corporate food chain becomes irrelevant and survival trumps togetherness. Come Monday morning, how many members short will the team be?The #1 New York Times bestselling author of The Turn of the Key and In a Dark Dark Wood returns with another suspenseful thriller set on a snow-covered mountain.",23019
