title,ISBN,author,genre,rating,number_of_ratings,number_of_reviews,pages,format,publish info,description,Votes
Big Swiss,ISBN not found,Jen Beagin,"Fiction, Contemporary, LGBT, Romance, Literary Fiction, Queer, Audiobook",3.69,"63,685","10,661",336,Hardcover,"First published February 7, 2023","Greta liked knowing people's secrets. That wasn't a problem. Until she met Big Swiss. Big Swiss. That's Greta's nickname for her - she is tall, and she is from Switzerland. Greta can see her dressed top to toe in white, that adorable gap between her two front teeth, her penetrating blue eyes. She's a including the heads of infants and dogs. Well that's how Greta imagines seeing her; they haven't actually ever met in person. Nor has Greta actually ever been to Switzerland. Greta and Big Swiss are not in the same room, or even the same building. Greta is miles away, sitting at a desk in her own house, wearing only headphones, fingerless gloves, a kimono, and legwarmers, transcribing this disembodied voice. What Greta doesn't know is that she's about to bump into Big Swiss in the local dog park. A new - and not entirely honest - relationship is going to be born. A relationship that will transform both of their lives.",7486
Shark Heart,ISBN not found,Emily Habeck,"Fiction, Magical Realism, Fantasy, Romance, Audiobook, Literary Fiction, Contemporary",4.03,"28,813","6,322",416,Hardcover,"First published August 8, 2023","Newlyweds face the unimaginable in this epic tale about marriage, motherhood, and enduring love.For Lewis and Wren, their first year of marriage is also their last. A few weeks after their wedding, Lewis receives a rare diagnosis. He will retain most of his consciousness, memories, and intellect, but his physical body will gradually turn into a great white shark. As Lewis develops the features and impulses of one of the most predatory creatures in the ocean, his complicated artist’s heart struggles to make peace with his unfulfilled dreams.At first, Wren internally resists her husband’s fate. Is there a way for them to be together after Lewis changes? Then, a glimpse of Lewis’s developing carnivorous nature activates long-repressed memories for Wren, whose story vacillates between her childhood living on a houseboat in Oklahoma, her time with a college ex-girlfriend, and her unusual friendship with a woman pregnant with twin birds. Woven throughout this bold novel is the story of Wren’s mother, Angela, who becomes pregnant with Wren at fifteen in an abusive relationship amidst her parents’ crumbling marriage. In the present, all of Wren’s grief eventually collides, and she is forced to make an impossible choice.A sweeping love story that is at once lyrical and funny, airy and visceral, Shark Heart is an unforgettable, gorgeous novel about life’s perennial questions, the fragility of memories, finding joy amidst grief, and creating a meaningful life. This daring debut marks the arrival of a wildly talented new writer abounding with originality, humor, and heart.",6218
Evil Eye,ISBN not found,Etaf Rum,"Fiction, Contemporary, Literary Fiction, Mental Health, Audiobook, Adult, Adult Fiction",3.96,"14,647","2,177",352,Hardcover,"First published September 5, 2023","The acclaimed New York Times bestselling author of A Woman Is No Man returns with a striking exploration of the expectations of Palestinian-American women, the meaning of a fulfilling life, and the ways our unresolved pasts affect our presents.Raised in a conservative and emotionally volatile Palestinian family in Brooklyn, Yara thought she would finally feel free when she married a charming entrepreneur who took her to the suburbs. She’s gotten to follow her dreams, completing an undergraduate degree in Art and landing a good job at the local college. As a traditional wife, she also raises their two school-aged daughters, takes care of the house, and has dinner ready when her husband gets home. With her family balanced with her professional ambitions, Yara knows that her life is infinitely more rewarding than her own mother’s. So why doesn’t it feel like enough?  After her dream of chaperoning a student trip to Europe evaporates and she responds to a colleague’s racist provocation, Yara is put on probation at work and must attend mandatory counseling to keep her position. Her mother blames a family curse for the trouble she’s facing, and while Yara doesn’t really believe in old superstitions, she still finds herself growing increasingly uneasy with her mother’s warning and the possibility of falling victim to the same mistakes.Shaken to the core by these indictments of her life, Yara finds her carefully constructed world beginning to implode. To save herself, Yara must reckon with the reality that the difficulties of the childhood she thought she left behind have very real—and damaging—implications not just on her own future but that of her daughters.",5708
The Celebrants,ISBN not found,Steven  Rowley,"Fiction, LGBT, Contemporary, Audiobook, Adult, Literary Fiction, Adult Fiction",3.65,"37,832","5,087",320,Hardcover,"First published May 30, 2023","A Big Chill for our times, celebrating decades-long friendships and promises—especially to ourselves—by the bestselling and beloved author of The Guncle.It’s been a minute—or five years—since Jordan Vargas last saw his college friends, and twenty-eight years since their graduation when their adult lives officially began. Now Jordan, Jordy, Naomi, Craig, and Marielle find themselves at the brink of a new decade, with all the responsibilities of adulthood, yet no closer to having their lives figured out. Though not for a lack of trying. Over the years they’ve reunited in Big Sur to honor a decades-old pact to throw each other living “funerals,” celebrations to remind themselves that life is worth living—that their lives mean something, to one another if not to themselves.But this reunion is different. They’re not gathered as they were to bolster Marielle as her marriage crumbled, to lift Naomi after her parents died, or to intervene when Craig pleaded guilty to art fraud. This time, Jordan is sitting on a secret that will upend their pact.A deeply honest tribute to the growing pains of selfhood and the people who keep us going, coupled with Steven Rowley’s signature humor and heart, The Celebrants is a moving tale about the false invincibility of youth and the beautiful ways in which friendship helps us celebrate our lives, even amid the deepest challenges of living.",5282
Birnam Wood,ISBN not found,Eleanor Catton,"Fiction, Thriller, Mystery, Literary Fiction, Contemporary, Mystery Thriller, Novels",3.82,"31,140","4,667",432,Hardcover,"First published March 2, 2023","Birnam Wood is on the move . . . Five years ago, Mira Bunting founded a guerrilla gardening group: Birnam Wood. An undeclared, unregulated, sometimes-criminal, sometimes-philanthropic gathering of friends, this activist collective plants crops wherever no one will notice: on the sides of roads, in forgotten parks, and neglected backyards. For years, the group has struggled to break even. Then Mira stumbles on an answer, a way to finally set the group up for the long term: a landslide has closed the Korowai Pass, cutting off the town of Thorndike. Natural disaster has created an opportunity, a sizable farm seemingly abandoned.But Mira is not the only one interested in Thorndike. Robert Lemoine, the enigmatic American billionaire, has snatched it up to build his end-times bunker--or so he tells Mira when he catches her on the property. Intrigued by Mira, Birnam Wood, and their entrepreneurial spirit, he suggests they work this land. But can they trust him? And, as their ideals and ideologies are tested, can they trust each other?A gripping psychological thriller from the Booker Prize-winning author of The Luminaries, Birnam Wood is Shakespearean in its wit, drama, and immersion in character. A brilliantly constructed consideration of intentions, actions, and consequences, it is an unflinching examination of the human impulse to ensure our own survival.",4425
The Connellys of County Down,ISBN not found,Tracey Lange,"Fiction, Contemporary, Audiobook, Family, Literary Fiction, Romance, Adult",3.85,"21,124","3,009",288,Hardcover,"First published August 1, 2023","When Tara Connelly is released from prison after serving eighteen months on a drug charge, she knows rebuilding her life at thirty years old won’t be easy. With no money and no prospects, she returns home to live with her siblings, who are both busy with their own problems. Her brother, a single dad, struggles with the ongoing effects of a brain injury he sustained years ago, and her sister’s fragile facade of calm and order is cracking under the burden of big secrets. Life becomes even more complicated when the cop who put her in prison keeps showing up unannounced, leaving Tara to wonder what he wants from her now.While she works to build a new career and hold her family together, Tara finds a chance at love in a most unlikely place. But when the Connellys’ secrets start to unravel and threaten her future, they all must face their worst fears and come clean, or risk losing each other forever.The Connellys of County Down is a moving novel about testing the bounds of love and loyalty. It explores the possibility of beginning our lives anew, and reveals the pitfalls of shielding each other from the bitter truth.",3589
The Bee Sting,ISBN not found,Paul Murray,"Fiction, Literary Fiction, Ireland, Contemporary, Irish Literature, Family, Audiobook",4.01,"33,032","4,685",656,Hardcover,"First published June 8, 2023","From the author of Skippy Dies comes Paul Murray's The Bee Sting, an irresistibly funny, wise, and thought-provoking tour de force about family, fortune, and the struggle to be a good person when the world is falling apart.The Barnes family is in trouble. Dickie’s once-lucrative car business is going under―but rather than face the music, he’s spending his days in the woods, building an apocalypse-proof bunker with a renegade handyman. His wife Imelda is selling off her jewelry on eBay, while their teenage daughter Cass, formerly top of her class, seems determined to binge-drink her way through her final exams. And twelve-year-old PJ is putting the final touches to his grand plan to run away from home.Where did it all go wrong? A patch of ice on the tarmac, a casual favor to a charming stranger, a bee caught beneath a bridal veil―can a single moment of bad luck change the direction of a life? And if the story has already been written―is there still time to find a happy ending?",3083
Wellness,ISBN not found,Nathan  Hill,"Fiction, Literary Fiction, Contemporary, Audiobook, Romance, Historical Fiction, Novels",4.00,"33,823","4,860",607,Hardcover,"First published September 26, 2023","The New York Times best-selling author of The Nix is back with a poignant and witty novel about marriage, the often baffling pursuit of health and happiness, and the stories that bind us together. From the gritty '90s Chicago art scene to a suburbia of detox diets and home-renovation hysteria, Wellness reimagines the love story with a healthy dose of insight, irony, and heart.“A hilarious and moving exploration of a modern marriage that astounds in its breadth and intimacy.”—Brit Bennett, author of The Vanishing HalfWhen Jack and Elizabeth meet as college students in the '90s, the two quickly join forces and hold on tight, each eager to claim a place in Chicago’s thriving underground art scene with an appreciative kindred spirit. Fast-forward twenty years to married life, and alongside the challenges of parenting, they encounter cults disguised as mindfulness support groups, polyamorous would-be suitors, Facebook wars, and something called Love Potion Number Nine.For the first time, Jack and Elizabeth struggle to recognize each other, and the no-longer-youthful dreamers are forced to face their demons, from unfulfilled career ambitions to painful childhood memories of their own dysfunctional families. In the process, Jack and Elizabeth must undertake separate, personal excavations, or risk losing the best thing in their lives: each other.",2983
Blackouts,ISBN not found,Justin Torres,"Fiction, Queer, LGBT, Literary Fiction, Contemporary, Historical Fiction, Novels",3.81,"5,291","1,000",306,Hardcover,"First published October 10, 2023","From the bestselling author of We the Animals, Blackouts mines lost histories--personal and collective.Out in the desert in a place called the Palace, a young man tends to a dying soul, someone he once knew briefly, but who has haunted the edges of his life. Juan Gay--playful raconteur, child lost and found and lost, guardian of the institutionalized--has a project to pass along to this new narrator. It is inspired by a true artifact of a book, Sex Variants: A Study in Homosexual Patterns, which contains stories collected in the early twentieth century from queer subjects by a queer researcher, Jan Gay, whose groundbreaking work was then co-opted by a committee, her name buried. As Juan waits for his end, he and the narrator trade stories--moments of joy and oblivion--and resurrect lost loves, lives, mothers, fathers, minor heroes. The past is with us, beside us, ahead of us; what are we to create from its gaps and erasures?Inspired by Kiss of the Spider Woman,  Pedro Páramo, Voodoo Macbeth, the book at its own center and the woman who created it, oral histories, and many more texts, images, and influences, Justin Torres's Blackouts is a work of fiction that sees through the inventions of history and narrative. An extraordinary work of creative imagination, it insists that we look long and steady at the world we have inherited and the world we have made--a world full of ghostly shadows and flashing moments of truth.",2611
Family Meal,ISBN not found,Bryan Washington,"Fiction, Contemporary, LGBT, Queer, Literary Fiction, Adult, Audiobook",3.59,"6,143","1,002",320,Hardcover,"First published October 10, 2023","From the bestselling, award-winning author of Memorial and Lot, an irresistible, intimate novel about two young men, once best friends, whose lives collide again after a loss.Cam is living in Los Angeles and falling apart after the love of his life has died. Kai's ghost won't leave Cam alone; his spectral visits wild, tender, and unexpected. When Cam returns to his hometown of Houston, he crashes back into the orbit of his former best friend, TJ, and TJ's family bakery. TJ's not sure how to navigate this changed Cam, impenetrably cool and self-destructing, or their charged estrangement. Can they find a way past all that has been said - and left unsaid - to save each other? Could they find a way back to being okay again, or maybe for the first time?When secrets and wounds become so insurmountable that they devour us from within, hope and sustenance and friendship can come from the most unlikely source. Spanning Los Angeles, Houston, and Osaka, Family Meal is a story about how the people who know us the longest can hurt us the most, but how they also set the standard for love. With his signature generosity and eye for food, sex, love, and the moments that make us the most human, Bryan Washington returns with a brilliant new novel.",2176
Weyward,ISBN not found,Emilia Hart,"Historical Fiction, Fantasy, Fiction, Magical Realism, Historical, Witches, Audiobook",4.09,"142,609","17,519",329,Hardcover,"First published February 2, 2023","
I am a Weyward, and wild inside.
2019: Under cover of darkness, Kate flees London for ramshackle Weyward Cottage, inherited from a great aunt she barely remembers. With its tumbling ivy and overgrown garden, the cottage is worlds away from the abusive partner who tormented Kate. But she begins to suspect that her great aunt had a secret. One that lurks in the bones of the cottage, hidden ever since the witch-hunts of the 17th century.1619: Altha is awaiting trial for the murder of a local farmer who was stampeded to death by his herd. As a girl, Altha’s mother taught her their magic, a kind not rooted in spell casting but in a deep knowledge of the natural world. But unusual women have always been deemed dangerous, and as the evidence for witchcraft is set out against Altha, she knows it will take all of her powers to maintain her freedom.1942: As World War II rages, Violet is trapped in her family's grand, crumbling estate. Straitjacketed by societal convention, she longs for the robust education her brother receives––and for her mother, long deceased, who was rumored to have gone mad before her death. The only traces Violet has of her are a locket bearing the initial W and the word weyward scratched into the baseboard of her bedroom.Weaving together the stories of three extraordinary women across five centuries, Emilia Hart's Weyward is an enthralling novel of female resilience and the transformative power of the natural world.",62211
The Covenant of Water,ISBN not found,Abraham   Verghese,"Fiction, Historical Fiction, India, Audiobook, Literary Fiction, Historical, Book Club",4.47,"152,484","17,277",724,Hardcover,"First published May 2, 2023","From the New York Times-bestselling author of Cutting for Stone comes a stunning and magisterial epic of love, faith, and medicine, set in Kerala, South India, following three generations of a family seeking the answers to a strange secretSpanning the years 1900 to 1977, The Covenant of Water is set in Kerala, on India’s Malabar Coast, and follows three generations of a family that suffers a peculiar affliction: in every generation, at least one person dies by drowning—and in Kerala, water is everywhere. At the turn of the century, a twelve-year-old girl from Kerala's Christian community, grieving the death of her father, is sent by boat to her wedding, where she will meet her forty-year-old husband for the first time. From this unforgettable new beginning, the young girl—and future matriarch, Big Ammachi—will witness unthinkable changes over the span of her extraordinary life, full of joy and triumph as well as hardship and loss, her faith and love the only constants.A shimmering evocation of a bygone India and of the passage of time itself, The Covenant of Water is a hymn to progress in medicine and to human understanding, and a humbling testament to the hardships undergone by past generations for the sake of those alive today. Imbued with humor, deep emotion, and the essence of life, it is one of the most masterful literary novels published in recent years.",46591
Lady Tan’s Circle of Women,ISBN not found,Lisa See,"Historical Fiction, Fiction, Historical, China, Audiobook, Asia, Adult",4.37,"85,262","8,759",368,Hardcover,"First published June 6, 2023","The latest historical novel from New York Times bestselling author Lisa See, inspired by the true story of a woman physician from 15th-century China—perfect for fans of See's classic Snowflower and the Secret Fan and The Island of Sea Women. According to Confucius, ""an educated woman is a worthless woman,"" but Tan Yunxian—born into an elite family, yet haunted by death, separations, and loneliness—is being raised by her grandparents to be of use. Her grandmother is one of only a handful of female doctors in China, and she teaches Yunxian the pillars of Chinese medicine, the Four Examinations—looking, listening, touching, and asking—something a man can never do with a female patient. From a young age, Yunxian learns about women's illnesses, many of which relate to childbearing, alongside a young midwife-in-training, Meiling. The two girls find fast friendship and a mutual purpose—despite the prohibition that a doctor should never touch blood while a midwife comes in frequent contact with it—and they vow to be forever friends, sharing in each other's joys and struggles. No mud, no lotus, they tell themselves: from adversity beauty can bloom. But when Yunxian is sent into an arranged marriage, her mother-in-law forbids her from seeing Meiling and from helping the women and girls in the household. Yunxian is to act like a proper wife—embroider bound-foot slippers, pluck instruments, recite poetry, give birth to sons, and stay forever within the walls of the family compound, the Garden of Fragrant Delights. How might a woman like Yunxian break free of these traditions, go on to treat women and girls from every level of society, and lead a life of such importance that many of her remedies are still used five centuries later? How might the power of friendship support or complicate these efforts? Lady Tan's Circle of Women is a captivating story of women helping other women. It is also a triumphant reimagining of the life of a woman who was remarkable in the Ming dynasty and would be considered remarkable today.",35411
The Heaven & Earth Grocery Store,ISBN not found,James   McBride,"Fiction, Historical Fiction, Audiobook, Literary Fiction, Mystery, Historical, African American",4.08,"132,679","14,440",380,Hardcover,"First published August 8, 2023","The new novel from the bestselling, National Book Award-winning, Oprah Book Club-picked, Barack Obama favourite James McBride.In 1972, when workers in Pottstown, Pennsylvania, were digging the foundations for a new development, the last thing they expected to find was a skeleton at the bottom of a well. Who the skeleton was and how it got there were two of the long-held secrets kept by the residents of Chicken Hill, the dilapidated neighbourhood where immigrant Jews and African Americans lived side by side and shared ambitions and sorrows.As these characters' stories overlap and deepen, it becomes clear how much the people who live on the margins struggle and what they must do to survive. When the truth is finally revealed about what happened on Chicken Hill and the part the town's white establishment played in it, McBride shows us that even in dark times, it is love and community-heaven and earth-that sustain us.",33221
The Keeper of Hidden Books,ISBN not found,Madeline  Martin,"Historical Fiction, Fiction, World War II, Books About Books, Historical, Audiobook, Holocaust",4.15,"14,426","1,615",416,Paperback,"First published August 1, 2023","A heartwarming story about the power of books to bring us together, inspired by the true story of the underground library in WWII Warsaw, by the New York Times bestselling author of The Last Bookshop in London.All her life, Zofia has found comfort in two things during times of hardship: books and her best friend, Janina. But no one could have imagined the horrors of the Nazi occupation in Warsaw. As the bombs rain down and Hitler’s forces loot and destroy the city, Zofia finds that now books are also in need of saving.With the death count rising and persecution intensifying, Zofia jumps to action to save her friend and salvage whatever books she can from the wreckage, hiding them away, and even starting a clandestine book club. She and her dearest friend never surrender their love of reading, even when Janina is forced into the newly formed ghetto.But the closer Warsaw creeps toward liberation, the more dangerous life becomes for the women and their families—and escape may not be possible for everyone. As the destruction rages around them, Zofia must fight to save her friend and preserve her culture and community using the only weapon they have left—literature.",30379
The Echo of Old Books,ISBN not found,Barbara  Davis,"Historical Fiction, Fiction, Romance, Mystery, Books About Books, Fantasy, Magical Realism",4.31,"73,190","6,129",431,Kindle,"First published March 28, 2023","Rare-book dealer Ashlyn Greer’s affinity for books extends beyond the intoxicating scent of old paper, ink, and leather. She can feel the echoes of the books’ previous owners—an emotional fingerprint only she can read. When Ashlyn discovers a pair of beautifully bound volumes that appear to have never been published, her gift quickly becomes an obsession. Not only is each inscribed with a startling incrimination, but the authors, Hemi and Belle, tell conflicting sides of a tragic romance.With no trace of how these mysterious books came into the world, Ashlyn is caught up in a decades-old literary mystery, beckoned by two hearts in ruins, whoever they were, wherever they are. Determined to learn the truth behind the doomed lovers’ tale, she reads on, following a trail of broken promises and seemingly unforgivable betrayals. The more Ashlyn learns about Hemi and Belle, the nearer she comes to bringing closure to their love story—and to the unfinished chapters of her own life.",29977
