title,ISBN,author,genre,rating,number_of_ratings,number_of_reviews,pages,format,publish info,description,Votes
The Bookish Life of Nina Hill,ISBN not found,Abbi Waxman,"['Audiobook', 'Realistic Fiction', 'Humor', 'Chick Lit', 'Womens Fiction', 'Mental Health', 'Book Club']",3.81,101621,15330,333,Paperback,"First published July 9, 2019","The author of Other People's Houses and The Garden of Small Beginnings delivers a quirky and charming novel chronicling the life of confirmed introvert Nina Hill as she does her best to fly under everyone's radar. Meet Nina Hill: A young woman supremely confident in her own...shell.The only child of a single mother, Nina has her life just as she wants it: a job in a bookstore, a kick-butt trivia team, a world-class planner and a cat named Phil. If she sometimes suspects there might be more to life than reading, she just shrugs and picks up a new book.   When the father Nina never knew existed suddenly dies, leaving behind innumerable sisters, brothers, nieces, and nephews, Nina is horrified. They all live close by! They're all--or mostly all--excited to meet her! She'll have to Speak. To. Strangers. It's a disaster! And as if that wasn't enough, Tom, her trivia nemesis, has turned out to be cute, funny, and deeply interested in getting to know her. Doesn't he realize what a terrible idea that is?Nina considers her options. 1. Completely change her name and appearance. (Too drastic, plus she likes her hair.)  2. Flee to a deserted island. (Hard pass, see: coffee).  3. Hide in a corner of her apartment and rock back and forth. (Already doing it.)It's time for Nina to come out of her comfortable shell, but she isn't convinced real life could ever live up to fiction. It's going to take a brand-new family, a persistent suitor, and the combined effects of ice cream and trivia to make her turn her own fresh page.",6069
The Last Romantics,ISBN not found,Tara Conklin,"['Fiction', 'Contemporary', 'Audiobook', 'Literary Fiction', 'Family', 'Romance', 'Adult Fiction']",3.71,43935,4740,354,Hardcover,"First published February 5, 2019","""The greatest works of poetry are the stories we tell about ourselves.""When the renowned poet Fiona Skinner is asked about the inspiration behind her iconic work, The Love Poem, she tells her audience a story about her family and a betrayal that reverberates through time.It begins in a big yellow house, with a funeral, an iron poker, and a brief variation forever known as the Pause: a free and feral summer in a middle-class Connecticut town. Caught between the predictable life they once led and an uncertain future that stretches before them, the Skinner siblings—fierce Renee, sensitive Caroline, golden-boy Joe and watchful Fiona—emerge from the Pause staunchly loyal and deeply connected. Two decades later, the siblings find themselves once again confronted with a family crisis that tests the strength of these bonds and forces them to question the life choices they’ve made and to ask what, exactly, they are willing to do for love. A sweeping yet intimate epic about one American family, The Last Romantics is an unforgettable exploration of the ties that bind us together, the responsibilities we embrace and the duties we resent, and how we can lose—and sometimes rescue—the ones we love. A novel that pierces the heart and lingers in the mind, it is also a beautiful meditation on the power of stories—how they guide us through difficult times, help us understand the past, and point the way toward our future.",5679
Red at the Bone,ISBN not found,Jacqueline Woodson,"['Fiction', 'Historical Fiction', 'Audiobook', 'Literary Fiction', 'Contemporary', 'Adult', 'LGBT']",3.98,78274,9342,196,Hardcover,"First published September 17, 2019","Moving forward and backward in time, Jacqueline Woodson's taut and powerful new novel uncovers the role that history and community have played in the experiences, decisions, and relationships of these families, and in the life of the new child.As the book opens in 2001, it is the evening of sixteen-year-old Melody's coming of age ceremony in her grandparents' Brooklyn brownstone. Watched lovingly by her relatives and friends, making her entrance to the music of Prince, she wears a special custom-made dress. But the event is not without poignancy. Sixteen years earlier, that very dress was measured and sewn for a different wearer: Melody's mother, for her own ceremony-- a celebration that ultimately never took place.Unfurling the history of Melody's parents and grandparents to show how they all arrived at this moment, Woodson considers not just their ambitions and successes but also the costs, the tolls they've paid for striving to overcome expectations and escape the pull of history. As it explores sexual desire and identity, ambition, gentrification, education, class and status, and the life-altering facts of parenthood, Red at the Bone most strikingly looks at the ways in which young people must so often make long-lasting decisions about their lives--even before they have begun to figure out who they are and what they want to be.",5517
When All Is Said,ISBN not found,Anne  Griffin,"['Fiction', 'Contemporary', 'Ireland', 'Irish Literature', 'Literary Fiction', 'Audiobook', 'Book Club']",4.02,41280,4995,326,Hardcover,"First published March 5, 2019","A tale of a single night. The story of a lifetime.If you had to pick five people to sum up your life, who would they be? If you were to raise a glass to each of them, what would you say? And what would you learn about yourself, when all is said and done?This is the story of Maurice Hannigan, who, over the course of a Saturday night in June, orders five different drinks at the Rainford House Hotel. With each he toasts a person vital to him: his doomed older brother, his troubled sister-in-law, his daughter of fifteen minutes, his son far off in America, and his late, lamented wife. And through these people, the ones who left him behind, he tells the story of his own life, with all its regrets and feuds, loves and triumphs.Beautifully written, powerfully felt, When All Is Said promises to be the next great Irish novel.",5065
The Gifted School,ISBN not found,Bruce Holsinger,"['Fiction', 'Contemporary', 'Audiobook', 'Adult', 'Literary Fiction', 'Adult Fiction', 'Family']",3.71,38721,4616,452,Hardcover,"First published July 2, 2019","Smart and juicy, a compulsively readable novel about a previously happy group of friends and parents that is nearly destroyed by their own competitiveness when an exclusive school for gifted children opens in the communityThis deliciously sharp novel captures the relentless ambitions and fears that animate parents and their children in modern America, exploring the conflicts between achievement and potential, talent and privilege. Set in the fictional town of Crystal, Colorado,  The Gifted School  is a keenly entertaining novel that observes the drama within a community of friends and parents as good intentions and high ambitions collide in a pile-up with long-held secrets and lies. Seen through the lens of four families who've been a part of one another's lives since their kids were born over a decade ago, the story reveals not only the lengths that some adults are willing to go to get ahead, but the effect on the group's children, sibling relationships, marriages, and careers, as simmering resentments come to a boil and long-buried, explosive secrets surface and detonate. It's a humorous, keenly observed, timely take on ambitious parents, willful kids, and the pursuit of prestige, no matter the cost.",4932
Fleishman Is in Trouble,ISBN not found,Taffy Brodesser-Akner,"['Fiction', 'Contemporary', 'Audiobook', 'Literary Fiction', 'Novels', 'New York', 'Marriage']",3.64,81696,8392,373,Hardcover,"First published June 18, 2019","Recently separated Toby Fleishman is suddenly, somehow--and at age forty-one, short as ever--surrounded by women who want him: women who are self-actualized, women who are smart and interesting, women who don't mind his height, women who are eager to take him for a test drive with just the swipe of an app. Toby doesn't mind being used in this way; it's a welcome change from the thirteen years he spent as a married man, the thirteen years of emotional neglect and contempt he's just endured. Anthropologically speaking, it's like nothing he ever experienced before, particularly back in the 1990s, when he first began dating and became used to swimming in the murky waters of rejection.But Toby's new life--liver specialist by day, kids every other weekend, rabid somewhat anonymous sex at night--is interrupted when his ex-wife suddenly disappears. Either on a vision quest or a nervous breakdown, Toby doesn't know--she won't answer his texts or calls.Is Toby's ex just angry, like always? Is she punishing him, yet again, for not being the bread winner she was? As he desperately searches for her while juggling his job and parenting their two unraveling children, Toby is forced to reckon with the real reasons his marriage fell apart, and to ask if the story he has been telling himself all this time is true.",3591
Find Me,ISBN not found,André Aciman,"['Romance', 'Fiction', 'LGBT', 'Contemporary', 'Queer', 'Gay', 'Audiobook']",3.27,73228,8808,260,Hardcover,"First published October 29, 2019","In this spellbinding exploration of the varieties of love, the author of the worldwide bestseller Call Me by Your Name revisits its complex and beguiling characters decades after their first meeting.No novel in recent memory has spoken more movingly to contemporary readers about the nature of love than André Aciman’s haunting Call Me by Your Name. First published in 2007, it was hailed as “a love letter, an invocation . . . an exceptionally beautiful book” (Stacey D’Erasmo, The New York Times Book Review). Nearly three quarters of a million copies have been sold, and the book became a much-loved, Academy Award–winning film starring Timothée Chalamet as the young Elio and Armie Hammer as Oliver, the graduate student with whom he falls in love.In Find Me, Aciman shows us Elio’s father, Samuel, on a trip from Florence to Rome to visit Elio, who has become a gifted classical pianist. A chance encounter on the train with a beautiful young woman upends Sami’s plans and changes his life forever.Elio soon moves to Paris, where he, too, has a consequential affair, while Oliver, now a New England college professor with a family, suddenly finds himself contemplating a return trip across the Atlantic.Aciman is a master of sensibility, of the intimate details and the emotional nuances that are the substance of passion. Find Me brings us back inside the magic circle of one of our greatest contemporary romances to ask if, in fact, true love ever dies.",2787
The Reckless Oath We Made,ISBN not found,Bryn Greenwood,"['Fiction', 'Romance', 'Contemporary', 'Literary Fiction', 'Audiobook', 'Adult', 'Adult Fiction']",3.99,12836,1958,436,Hardcover,"First published August 20, 2019","Zee is nobody's fairy tale princess. Almost six-foot, with a redhead's temper and a shattered hip, she has a long list of worries: never-ending bills, her beautiful, gullible sister, her five-year-old nephew, her housebound mother, and her drug-dealing boss.Zee may not be a princess, but Gentry is an actual knight, complete with sword, armor, and a code of honor. Two years ago the voices he hears called him to be Zee's champion. Both shy and autistic, he's barely spoken to her since, but he has kept watch, ready to come to her aid. When an abduction tears Zee's family apart, she turns to the last person she ever imagined--Gentry--and sets in motion a chain of events that will not only change both of their lives, but bind them to one another forever.A provocative love story between a tough Kansas woman on a crooked path to redemption and the unlikeliest of champions, from the New York Times bestselling author of All the Ugly and Wonderful Things.",1486
"Girl, Woman, Other",ISBN not found,Bernardine Evaristo,"['Fiction', 'Feminism', 'Contemporary', 'LGBT', 'Literary Fiction', 'Short Stories', 'Queer']",4.29,231474,21855,453,Paperback,"First published May 2, 2019","Bernardine Evaristo is the winner of the 2019 Booker Prize and the first black woman to receive this highest literary honor in the English language. Girl, Woman, Other is a magnificent portrayal of the intersections of identity and a moving and hopeful story of an interconnected group of Black British women that paints a vivid portrait of the state of contemporary Britain and looks back to the legacy of Britain’s colonial history in Africa and the Caribbean.The twelve central characters of this multi-voiced novel lead vastly different lives: Amma is a newly acclaimed playwright whose work often explores her Black lesbian identity; her old friend Shirley is a teacher, jaded after decades of work in London’s funding-deprived schools; Carole, one of Shirley’s former students, is a successful investment banker; Carole’s mother Bummi works as a cleaner and worries about her daughter’s lack of rootedness despite her obvious achievements. From a nonbinary social media influencer to a 93-year-old woman living on a farm in Northern England, these unforgettable characters also intersect in shared aspects of their identities, from age to race to sexuality to class.Sparklingly witty and filled with emotion, centering voices we often see othered, and written in an innovative fast-moving form that borrows technique from poetry, Girl, Woman, Other is a polyphonic and richly textured social novel that shows a side of Britain we rarely see, one that reminds us of all that connects us to our neighbors, even in times when we are encouraged to be split apart.",1413
Lanny,ISBN not found,Max Porter,"['Fiction', 'Fantasy', 'Magical Realism', 'Literary Fiction', 'Horror', 'Contemporary', 'Poetry']",4.06,26690,3576,213,Hardcover,"First published March 5, 2019","Not far from London, there is a village. This village belongs to the people who live in it and to those who lived in it hundreds of years ago. It belongs to England's mysterious past and its confounding present. It belongs to families dead for generations, and to those who have only recently moved here, such as the boy Lanny, and his mum and dad.But it also belongs to Dead Papa Toothwort, who has woken from his slumber in the woods. Dead Papa Toothwort, who is listening to them all.",1238
The Silent Patient,ISBN not found,Alex Michaelides,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Suspense', 'Crime', 'Psychological Thriller']",4.18,2175605,190773,336,Hardcover,"First published January 1, 2018","Alicia Berenson’s life is seemingly perfect. A famous painter married to an in-demand fashion photographer, she lives in a grand house with big windows overlooking a park in one of London’s most desirable areas. One evening her husband Gabriel returns home late from a fashion shoot, and Alicia shoots him five times in the face, and then never speaks another word.Alicia’s refusal to talk, or give any kind of explanation, turns a domestic tragedy into something far grander, a mystery that captures the public imagination and casts Alicia into notoriety. The price of her art skyrockets, and she, the silent patient, is hidden away from the tabloids and spotlight at the Grove, a secure forensic unit in North London.Theo Faber is a criminal psychotherapist who has waited a long time for the opportunity to work with Alicia. His determination to get her to talk and unravel the mystery of why she shot her husband takes him down a twisting path into his own motivations—a search for the truth that threatens to consume him....The Silent Patient is a shocking psychological thriller of a woman’s act of violence against her husband—and of the therapist obsessed with uncovering her motive.",68821
"My Sister, the Serial Killer",ISBN not found,Oyinkan Braithwaite,"['Fiction', 'Thriller', 'Mystery', 'Audiobook', 'Contemporary', 'Crime', 'Mystery Thriller']",3.67,294111,33631,226,Hardcover,"First published July 17, 2018","When Korede's dinner is interrupted one night by a distress call from her sister, Ayoola, she knows what's expected of her: bleach, rubber gloves, nerves of steel and a strong stomach. This'll be the third boyfriend Ayoola's dispatched in, quote, self-defence and the third mess that her lethal little sibling has left Korede to clear away. She should probably go to the police for the good of the menfolk of Nigeria, but she loves her sister and, as they say, family always comes first. Until, that is, Ayoola starts dating the doctor where Korede works as a nurse. Korede's long been in love with him, and isn't prepared to see him wind up with a knife in his back: but to save one would mean sacrificing the other...My Sister, the Serial Killer is a blackly comic novel about how blood is thicker - and more difficult to get out of the carpet - than water...",52097
The Turn of the Key,ISBN not found,Ruth Ware,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Audiobook', 'Horror', 'Suspense']",3.92,279996,30931,337,Hardcover,"First published August 6, 2019","When she stumbles across the ad, she’s looking for something else completely. But it seems like too good an opportunity to miss—a live-in nannying post, with a staggeringly generous salary. And when Rowan Caine arrives at Heatherbrae House, she is smitten—by the luxurious “smart” home fitted out with all modern conveniences, by the beautiful Scottish Highlands, and by this picture-perfect family. What she doesn’t know is that she’s stepping into a nightmare—one that will end with a child dead and herself in prison awaiting trial for murder. Writing to her lawyer from prison, she struggles to explain the unravelling events that led to her incarceration. It wasn’t just the constant surveillance from the cameras installed around the house, or the malfunctioning technology that woke the household with booming music, or turned the lights off at the worst possible time. It wasn’t just the girls, who turned out to be a far cry from the immaculately behaved model children she met at her interview. It wasn’t even the way she was left alone for weeks at a time, with no adults around apart from the enigmatic handyman, Jack Grant. It was everything. She knows she’s made mistakes. She admits that she lied to obtain the post, and that her behavior toward the children wasn’t always ideal. She’s not innocent, by any means. But, she maintains, she’s not guilty—at least not of murder. Which means someone else is. Full of spellbinding menace and told in Ruth Ware’s signature suspenseful style, The Turn of the Key is an unputdownable thriller from the Agatha Christie of our time.",31822
The Lost Man,ISBN not found,Jane Harper,"['Mystery', 'Fiction', 'Thriller', 'Mystery Thriller', 'Crime', 'Australia', 'Audiobook']",4.16,98628,10512,340,Hardcover,"First published October 23, 2018","Two brothers meet at the border of their vast cattle properties under the unrelenting sun of outback Queensland. They are at the stockman’s grave, a landmark so old, no one can remember who is buried there. But today, the scant shadow it casts was the last hope for their middle brother, Cameron. The Bright family’s quiet existence is thrown into grief and anguish. Something had been troubling Cameron. Did he lose hope and walk to his death? Because if he didn’t, the isolation of the outback leaves few suspects…Dark, suspenseful, and deeply atmospheric, The Lost Man is the highly anticipated next book from the bestselling and award-winning Jane Harper, author of The Dry and Force of Nature.",23526
An Anonymous Girl,ISBN not found,Greer Hendricks,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Audiobook', 'Suspense', 'Psychological Thriller']",3.80,164708,17199,375,Hardcover,"First published January 8, 2019","Looking to earn some easy cash, Jessica Farris agrees to be a test subject in a psychological study about ethics and morality. But as the study moves from the exam room to the real world, the line between what is real and what is one of Dr. Shields’s experiments blurs.Dr. Shields seems to know what Jess is thinking… and what she’s hiding.Jessica’s behavior will not only be monitored, but manipulated.Caught in a web of attraction, deceit and jealousy, Jess quickly learns that some obsessions can be deadly.From the authors of the blockbuster bestseller The Wife Between Us, Greer Hendricks and Sarah Pekkanen, An Anonymous Girl will keep you riveted through the last shocking twist.",19692
The Whisper Man,ISBN not found,Alex North,"['Thriller', 'Mystery', 'Horror', 'Fiction', 'Mystery Thriller', 'Crime', 'Audiobook']",4.03,163837,18477,355,Hardcover,"First published June 13, 2019","In this dark, suspenseful thriller, Alex North weaves a multi-generational tale of a father and son caught in the crosshairs of an investigation to catch a serial killer preying on a small town.After the sudden death of his wife, Tom Kennedy believes a fresh start will help him and his young son Jake heal. A new beginning, a new house, a new town: Featherbank.But Featherbank has a dark past. Twenty years ago, a serial killer abducted and murdered five residents. Until Frank Carter was finally caught, he was nicknamed ""The Whisper Man,"" for he would lure his victims out by whispering at their windows at night.Just as Tom and Jake settle into their new home, a young boy vanishes. His disappearance bears an unnerving resemblance to Frank Carter's crimes, reigniting old rumors that he preyed with an accomplice. Now, detectives Amanda Beck and Pete Willis must find the boy before it is too late, even if that means Pete has to revisit his great foe in prison: The Whisper Man. And then Jake begins acting strangely. He hears a whispering at his window.",19627
Run Away,ISBN not found,Harlan Coben,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Crime', 'Suspense', 'Audiobook']",4.06,68403,5952,371,Hardcover,"First published April 2, 2019","YOUR DAUGHTER IS MISSING.YOU'LL RISK ANYTHING TO FIND HER.And then you see her, frightened and clearly in trouble.You approach her, beg her to come home.SHE RUNS.You follow her into a dark, dangerous world where no-one is safe and murder is commonplace.NOW IT'S YOUR LIFE ON THE LINE...",18561
Lock Every Door,ISBN not found,Riley Sager,"['Thriller', 'Mystery', 'Mystery Thriller', 'Fiction', 'Horror', 'Audiobook', 'Adult']",3.90,211370,25953,371,Hardcover,"First published July 2, 2019","No visitors. No nights spent away from the apartment. No disturbing the other residents, all of whom are rich or famous or both. These are the only rules for Jules Larsen's new job as an apartment sitter at the Bartholomew, one of Manhattan's most high-profile and mysterious buildings. Recently heartbroken and just plain broke, Jules is taken in by the splendor of her surroundings and accepts the terms, ready to leave her past life behind.As she gets to know the residents and staff of the Bartholomew, Jules finds herself drawn to fellow apartment sitter Ingrid, who comfortingly, disturbingly reminds her of the sister she lost eight years ago. When Ingrid confides that the Bartholomew is not what it seems and the dark history hidden beneath its gleaming facade is starting to frighten her, Jules brushes it off as a harmless ghost story—until the next day, when Ingrid disappears.Searching for the truth about Ingrid's disappearance, Jules digs deeper into the Bartholomew's dark past and into the secrets kept within its walls. Her discovery that Ingrid is not the first apartment sitter to go missing at the Bartholomew pits Jules against the clock as she races to unmask a killer, expose the building's hidden past, and escape the Bartholomew before her temporary status becomes permanent.",17079
Miracle Creek,ISBN not found,Angie  Kim,"['Mystery', 'Fiction', 'Thriller', 'Mystery Thriller', 'Contemporary', 'Audiobook', 'Adult']",3.87,67970,9283,355,Hardcover,"First published April 16, 2019","A literary courtroom thriller about an immigrant family and a young single mother accused of killing her autistic son, Miracle Creek is a powerhouse debut about how far we'll go to protect our families, and our deepest secrets.In rural Miracle Creek, Virginia, Young and Pak Yoo run an experimental medical treatment device known as the Miracle Submarine. A pressurized oxygen chamber that patients enter for therapeutic “dives,” it's also a repository of hopes and dreams: the dream of a mom that her child can be like other kids; the dream of a young doctor desperate to cure his infertility and save his marriage; the dream of the Yoos themselves, Korean immigrants who have come to the United States so their teenage daughter can have a better life. When the oxygen chamber mysteriously explodes, killing two people, all these dreams shatter with it, and the ensuing murder trial uncovers imaginable secrets and lies. In Miracle Creek, Angie Kim takes a classic form—courtroom drama—and draws on her own experience as an immigrant, a lawyer, and the mother of a real-life ""submarine"" patient to turn it into something wholly original, unputdownable . . . real. This is a spellbinding novel by an exciting new voice.",14859
The Mother-in-Law,ISBN not found,Sally Hepworth,"['Mystery', 'Fiction', 'Thriller', 'Audiobook', 'Mystery Thriller', 'Contemporary', 'Suspense']",3.98,166905,14014,340,Hardcover,"First published January 29, 2019","Someone once told me that you have two families in your life - the one you are born into and the one you choose. Yes, you may get to choose your partner, but you don't choose your mother-in-law. The cackling mercenaries of fate determine it all.From the moment Lucy met Diana, she was kept at arm's length. Diana is exquisitely polite, but Lucy knows, even after marrying Oliver, that they'll never have the closeness she'd been hoping for.But who could fault Diana? She was a pillar of the community, an advocate for social justice, the matriarch of a loving family. Lucy had wanted so much to please her new mother-in-law.That was ten years ago. Now, Diana has been found dead, leaving a suicide note. But the autopsy reveals evidence of suffocation. And everyone in the family is hiding something...From the bestselling author of 
The Family Next Door
 comes a new page-turner about that trickiest of relationships.",13804
