title,ISBN,author,genre,rating,number_of_ratings,number_of_reviews,pages,format,publish info,description,Votes
Mad Honey,ISBN not found,Jodi Picoult,"Fiction, Mystery, Audiobook, Contemporary, Romance, LGBT, Thriller",4.10,"390,336","35,933",464,Hardcover,"First published October 4, 2022","A soul-stirring novel about what we choose to keep from our past, and what we choose to leave behind.Olivia McAfee knows what it feels like to start over. Her picture-perfect life—living in Boston, married to a brilliant cardiothoracic surgeon, raising a beautiful son, Asher—was upended when her husband revealed a darker side. She never imagined she would end up back in her sleepy New Hampshire hometown, living in the house she grew up in, and taking over her father's beekeeping business. Lily Campanello is familiar with do-overs, too. When she and her mom relocate to Adams, New Hampshire, for her final year of high school, they both hope it will be a fresh start.  And for just a short while, these new beginnings are exactly what Olivia and Lily need. Their paths cross when Asher falls for the new girl in school, and Lily can’t help but fall for him, too. With Ash, she feels happy for the first time. Yet at times, she wonders if she can she trust him completely . . . Then one day, Olivia receives a phone call: Lily is dead, and Asher is being questioned by the police. Olivia is adamant that her son is innocent. But she would be lying if she didn’t acknowledge the flashes of his father’s temper in him, and as the case against him unfolds, she realizes he’s hidden more than he’s shared with her. Mad Honey is a riveting novel of suspense, an unforgettable love story, and a moving and powerful exploration of the secrets we keep and the risks we take in order to become ourselves.",8654
Olga Dies Dreaming,ISBN not found,Xóchitl González,"Fiction, Contemporary, Audiobook, Romance, Literary Fiction, LGBT, Adult",3.99,"61,953","6,989",369,Hardcover,"First published January 4, 2022","It's 2017, and Olga and her brother, Pedro ""Prieto"" Acevedo, are bold-faced names in their hometown of New York. Prieto is a popular congressman representing their gentrifying Latinx neighborhood in Brooklyn while Olga is the tony wedding planner for Manhattan's powerbrokers.Despite their alluring public lives, behind closed doors things are far less rosy. Sure, Olga can orchestrate the love stories of the 1%, but she can't seem to find her own...until she meets Matteo, who forces her to confront the effects of long-held family secrets...Twenty-seven years ago, their mother, Blanca, a Young Lord-turned-radical, abandoned her children to advance a militant political cause, leaving them to be raised by their grandmother. Now, with the winds of hurricane season, Blanca has come barreling back into their lives.Set against the backdrop of New York City in the months surrounding the most devastating hurricane in Puerto Rico's history, Olga Dies Dreaming is a story that examines political corruption, familial strife and the very notion of the American dream--all while asking what it really means to weather a storm.",8239
This Time Tomorrow,ISBN not found,Emma Straub,"Fiction, Time Travel, Audiobook, Science Fiction, Fantasy, Contemporary, Magical Realism",3.80,"131,732","13,724",310,Hardcover,"First published May 17, 2022","What if you could take a vacation to your past? With her celebrated humor, insight, and heart, beloved New York Times bestseller Emma Straub offers her own twist on traditional time travel tropes, and a different kind of love story. On the eve of her 40th birthday, Alice's life isn't terrible. She likes her job, even if it isn't exactly the one she expected. She's happy with her apartment, her romantic status, her independence, and she adores her lifelong best friend. But her father is ailing, and it feels to her as if something is missing. When she wakes up the next morning she finds herself back in 1996, reliving her 16th birthday. But it isn't just her adolescent body that shocks her, or seeing her high school crush, it's her dad: the vital, charming, 40-something version of her father with whom she is reunited. Now armed with a new perspective on her own life and his, some past events take on new meaning. Is there anything that she would change if she could?",7764
Demon Copperhead,ISBN not found,Barbara Kingsolver,"Fiction, Historical Fiction, Audiobook, Literary Fiction, Contemporary, Coming Of Age, Book Club",4.51,"401,449","42,277",560,Hardcover,"First published October 18, 2022","""Anyone will tell you the born of this world are marked from the get-out, win or lose.""Set in the mountains of southern Appalachia, this is the story of a boy born to a teenaged single mother in a single-wide trailer, with no assets beyond his dead father's good looks and copper-colored hair, a caustic wit, and a fierce talent for survival. In a plot that never pauses for breath, relayed in his own unsparing voice, he braves the modern perils of foster care, child labor, derelict schools, athletic success, addiction, disastrous loves, and crushing losses. Through all of it, he reckons with his own invisibility in a popular culture where even the superheroes have abandoned rural people in favor of cities.Many generations ago, Charles Dickens wrote David Copperfield from his experience as a survivor of institutional poverty and its damages to children in his society. Those problems have yet to be solved in ours. Dickens is not a prerequisite for readers of this novel, but he provided its inspiration. In transposing a Victorian epic novel to the contemporary American South, Barbara Kingsolver enlists Dickens' anger and compassion, and above all, his faith in the transformative powers of a good story. Demon Copperhead speaks for a new generation of lost boys, and all those born into beautiful, cursed places they can't imagine leaving behind.",7276
True Biz,ISBN not found,Sara Nović,"Fiction, Contemporary, Disability, Audiobook, Young Adult, Literary Fiction, LGBT",4.09,"64,762","8,533",386,Hardcover,"First published April 5, 2022","TRUE BIZ (adj./exclamation; American Sign Language): really, seriously, definitely, real-talkTrue biz? The students at the River Valley School for the Deaf just want to hook up, pass their history finals, and have politicians, doctors, and their parents stop telling them what to do with their bodies. This revelatory novel plunges readers into the halls of a residential school for the deaf, where they'll meet Charlie, a rebellious transfer student who's never met another deaf person before; Austin, the school's golden boy, whose world is rocked when his baby sister is born hearing; and February, the headmistress, who is fighting to keep her school open and her marriage intact, but might not be able to do both. As a series of crises both personal and political threaten to unravel each of them, Charlie, Austin, and February find their lives inextricable from one another's—and changed forever.This is a story of sign language and lip-reading, disability and civil rights, isolation and injustice, first love and loss, and, above all, great persistence, daring, and joy. Absorbing and assured, idiosyncratic and relatable, this is an unforgettable journey into the Deaf community and a universal celebration of human connection.",6141
Nightcrawling,ISBN not found,Leila Mottley,"Fiction, Contemporary, Literary Fiction, LGBT, Audiobook, Race, Adult",3.99,"47,544","6,204",277,Hardcover,"First published June 7, 2022","Kiara and her brother, Marcus, are scraping by in an East Oakland apartment complex optimistically called the Regal-Hi. Both have dropped out of high school, their family fractured by death and prison. But while Marcus clings to his dream of rap stardom, Kiara hunts for work to pay their rent--which has more than doubled--and to keep the nine-year-old boy next door, abandoned by his mother, safe and fed.One night, what begins as a drunken misunderstanding with a stranger turns into the job Kiara never imagined wanting but now desperately needs: nightcrawling. Her world breaks open even further when her name surfaces in an investigation that exposes her as a key witness in a massive scandal within the Oakland Police Department.",6138
Lucy by the Sea,ISBN not found,Elizabeth Strout,"Fiction, Literary Fiction, Audiobook, Contemporary, Family, Adult Fiction, Novels",3.92,"64,973","7,200",291,Hardcover,"First published September 20, 2022","As a panicked world goes into lockdown, Lucy Barton is uprooted from her life in Manhattan and bundled away to a small town in Maine by her ex-husband and on-again, off-again friend, William. For the next several months, it's just Lucy, William, and their complex past together in a little house nestled against the moody, swirling sea.Rich with empathy and emotion, Lucy by the Sea vividly captures the fear and struggles that come with isolation, as well as the hope, peace, and possibilities that those long, quiet days can inspire. At the heart of this story are the deep human connections that unite us even when we're apart--the pain of a beloved daughter's suffering, the emptiness that comes from the death of a loved one, the promise of a new friendship, and the comfort of an old, enduring love.",5337
Honor,ISBN not found,Thrity Umrigar,"Fiction, Historical Fiction, India, Contemporary, Audiobook, Literary Fiction, Adult",4.37,"56,502","5,439",326,Hardcover,"First published January 4, 2022","In this riveting and immersive novel, bestselling author Thrity Umrigar tells the story of two couples and the sometimes dangerous and heartbreaking challenges of love across a cultural divide.   Indian American journalist Smita has returned to India to cover a story, but reluctantly: long ago she and her family left the country with no intention of ever coming back. As she follows the case of Meena—a Hindu woman attacked by members of her own village and her own family for marrying a Muslim man—Smita comes face to face with a society where tradition carries more weight than one’s own heart, and a story that threatens to unearth the painful secrets of Smita’s own past. While Meena’s fate hangs in the balance, Smita tries in every way she can to right the scales. She also finds herself increasingly drawn to Mohan, an Indian man she meets while on assignment. But the dual love stories of Honor are as different as the cultures of Meena and Smita themselves: Smita realizes she has the freedom to enter into a casual affair, knowing she can decide later how much it means to her. In this tender and evocative novel about love, hope, familial devotion, betrayal, and sacrifice, Thrity Umrigar shows us two courageous women trying to navigate how to be true to their homelands and themselves at the same time.",4708
How Not to Drown in a Glass of Water,ISBN not found,Angie Cruz,"Fiction, Audiobook, Contemporary, Literary Fiction, Historical Fiction, Feminism, Adult Fiction",3.90,"23,752","3,503",195,Hardcover,"First published September 13, 2022","Cara Romero thought she would work at the factory of little lamps for the rest of her life. But when, in her mid-50s, she loses her job in the Great Recession, she is forced back into the job market for the first time in decades. Set up with a job counselor, Cara instead begins to narrate the story of her life. Over the course of twelve sessions, Cara recounts her tempestuous love affairs, her alternately biting and loving relationships with her neighbor Lulu and her sister Angela, her struggles with debt, gentrification and loss, and, eventually, what really happened between her and her estranged son, Fernando. As Cara confronts her darkest secrets and regrets, we see a woman buffeted by life but still full of fight.Structurally inventive and emotionally kaleidoscopic, How Not to Drown in a Glass of Water is Angie Cruz’s most ambitious and moving novel yet, and Cara is a heroine for the ages.",3883
Now Is Not the Time to Panic,ISBN not found,Kevin    Wilson,"Fiction, Audiobook, Contemporary, Coming Of Age, Literary Fiction, Young Adult, Adult",3.69,"52,222","6,503",246,Hardcover,"First published November 15, 2022","From the New York Times bestselling author of Nothing to See Here comes an exuberant, bighearted novel about two teenage misfits who spectacularly collide one fateful summer, and the art they make that changes their lives forever.Sixteen-year-old Frankie Budge—aspiring writer, indifferent student, offbeat loner—is determined to make it through yet another sad summer in Coalfield, Tennessee, when she meets Zeke, a talented artist who has just moved into his grandmother’s unhappy house and who is as lonely and awkward as Frankie is. Romantic and creative sparks begin to fly, and when the two jointly make an unsigned poster, shot through with an enigmatic phrase, it becomes unforgettable to anyone who sees it. The edge is a shantytown filled with gold seekers. We are fugitives, and the law is skinny with hunger for us.The posters begin appearing everywhere, and people wonder who is behind them. Satanists, kidnappers—the rumors won’t stop, and soon the mystery has dangerous repercussions that spread far beyond the town. The art that brought Frankie and Zeke together now threatens to tear them apart.Twenty years later, Frances Eleanor Budge—famous author, mom to a wonderful daughter, wife to a loving husband—gets a call that threatens to upend everything: a journalist named Mazzy Brower is writing a story about the Coalfield Panic of 1996. Might Frances know something about that? And will what she knows destroy the life she’s so carefully built?A bold coming-of-age story, written with Kevin Wilson’s trademark wit and blazing prose, Now Is Not The Time to Panic is a nuanced exploration of young love, identity, and the power of art. It’s also about the secrets that haunt us—and, ultimately, what the truth will set free.",3689
The Maid,ISBN not found,Nita Prose,"Mystery, Fiction, Mystery Thriller, Thriller, Audiobook, Crime, Contemporary",3.78,"541,014","52,316",304,Hardcover,"First published January 4, 2022","Molly Gray is not like everyone else. She struggles with social skills and misreads the intentions of others. Her gran used to interpret the world for her, codifying it into simple rules that Molly could live by. Since Gran died a few months ago, twenty-five-year-old Molly has been navigating life's complexities all by herself. No matter—she throws herself with gusto into her work as a hotel maid. Her unique character, along with her obsessive love of cleaning and proper etiquette, make her an ideal fit for the job. She delights in donning her crisp uniform each morning, stocking her cart with miniature soaps and bottles, and returning guest rooms at the Regency Grand Hotel to a state of perfection. But Molly's orderly life is upended the day she enters the suite of the infamous and wealthy Charles Black, only to find it in a state of disarray and Mr. Black himself dead in his bed. Before she knows what's happening, Molly's unusual demeanor has the police targeting her as their lead suspect. She quickly finds herself caught in a web of deception, one she has no idea how to untangle. Fortunately for Molly, friends she never knew she had unite with her in a search for clues to what really happened to Mr. Black—but will they be able to find the real killer before it's too late? A Clue-like, locked-room mystery and a heartwarming journey of the spirit, The Maid explores what it means to be the same as everyone else and yet entirely different—and reveals that all mysteries can be solved through connection to the human heart.",78403
The Paris Apartment,ISBN not found,Lucy Foley,"Mystery, Thriller, Fiction, Mystery Thriller, Audiobook, Suspense, Adult",3.67,"518,105","43,793",360,Hardcover,"First published February 22, 2022","From the New York Times bestselling author of The Guest List comes a new locked room mystery, set in a Paris apartment building in which every resident has something to hide…Jess needs a fresh start. She’s broke and alone, and she’s just left her job under less than ideal circumstances. Her half-brother Ben didn’t sound thrilled when she asked if she could crash with him for a bit, but he didn’t say no, and surely everything will look better from Paris. Only when she shows up – to find a very nice apartment, could Ben really have afforded this? – he’s not there.The longer Ben stays missing, the more Jess starts to dig into her brother’s situation, and the more questions she has. Ben’s neighbors are an eclectic bunch, and not particularly friendly. Jess may have come to Paris to escape her past, but it’s starting to look like it’s Ben’s future that’s in question.The socialite – The nice guy – The alcoholic – The girl on the verge – The conciergeEveryone’s a neighbor. Everyone’s a suspect. And everyone knows something they’re not telling.",70346
The Bullet That Missed,ISBN not found,Richard Osman,"Mystery, Fiction, Crime, Audiobook, Mystery Thriller, Thriller, Humor",4.39,"166,136","13,910",413,Hardcover,"First published September 15, 2022","One Thursday afternoon in the seniors' center, a decade-old cold case --their favorite kind-- leads the Thursday Murder Club to a local news legend and a murder with no body and no answers. A new foe they call ""Viking"", wants Elizabeth to kill former KGB chief Viktor, or he will kill her sweet best friend Joyce. Activist marked for death Ron and psychiatrist Ibrahim chase clues for Viking's identity, and investigate mob-queen prisoner from last book.This third adventure ranges from a prison cell with espresso machine to a luxury penthouse with swimming pool high in the sky.",45969
A Flicker in the Dark,ISBN not found,Stacy Willingham,"Thriller, Mystery, Mystery Thriller, Fiction, Audiobook, Suspense, Crime",4.00,"392,133","35,089",357,Hardcover,"First published January 11, 2022","When Chloe Davis was twelve, six teenage girls went missing in her small Louisiana town. By the end of the summer, Chloe’s father had been arrested as a serial killer and promptly put in prison. Chloe and the rest of her family were left to grapple with the truth and try to move forward while dealing with the aftermath.Now 20 years later, Chloe is a psychologist in private practice in Baton Rouge and getting ready for her wedding. She finally has a fragile grasp on the happiness she’s worked so hard to get. Sometimes, though, she feels as out of control of her own life as the troubled teens who are her patients. And then a local teenage girl goes missing, and then another, and that terrifying summer comes crashing back. Is she paranoid, and seeing parallels that aren't really there, or for the second time in her life, is she about to unmask a killer?In a debut novel that has already been optioned for a limited series by actress Emma Stone and sold to a dozen countries around the world, Stacy Willingham has created an unforgettable character in a spellbinding thriller that will appeal equally to fans of Gillian Flynn and Karin Slaughter.",36199
The Book of Cold Cases,ISBN not found,Simone St. James,"Mystery, Thriller, Mystery Thriller, Fiction, Horror, Paranormal, Audiobook",3.79,"111,054","12,734",344,Hardcover,"First published March 15, 2022","In 1977, Claire Lake, Oregon, was shaken by the Lady Killer Murders: Two men, seemingly randomly, were murdered with the same gun, with strange notes left behind. Beth Greer was the perfect suspect--a rich, eccentric twenty-three-year-old woman, seen fleeing one of the crimes. But she was acquitted, and she retreated to the isolation of her mansion.Oregon, 2017. Shea Collins is a receptionist, but by night, she runs a true crime website, the Book of Cold Cases--a passion fueled by the attempted abduction she escaped as a child. When she meets Beth by chance, Shea asks her for an interview. To Shea's surprise, Beth says yes.They meet regularly at Beth's mansion, though Shea is never comfortable there. Items move when she's not looking, and she could swear she's seen a girl outside the window. The allure of learning the truth about the case from the smart, charming Beth is too much to resist, but even as they grow closer, Shea senses something isn't right. Is she making friends with a manipulative murderer, or are there other dangers lurking in the darkness of the Greer house?A true crime blogger gets more than she bargained for while interviewing the woman acquitted of two cold case slayings in this chilling new novel from the New York Times bestselling author of The Sun Down Motel.",29557
Wrong Place Wrong Time,ISBN not found,Gillian McAllister,"Mystery, Thriller, Fiction, Mystery Thriller, Audiobook, Time Travel, Suspense",4.01,"306,990","30,752",416,Hardcover,"First published May 12, 2022","Can you stop a murder after it’s already happened?It is midnight on the morning of Halloween, and Jen anxiously waits up for her 18-year-old son, Todd, to return home. But worries about his broken curfew transform into something much more dangerous when Todd finally emerges from the darkness. As Jen watches through the window, she sees her funny, seemingly happy teenage son stab a total stranger.She doesn’t know who the victim is, or why Todd has committed such a devastating act of violence. All she knows is that her life, and Todd’s, have been shattered. After her son is taken into custody, Jen falls asleep in despair. But when she wakes up… it is yesterday. The murder has not happened yet—and there may be a chance to stop it. Each morning, when Jen wakes, she is further back in the past, first weeks, then years, before the murder. And Jen realizes that somewhere in the past lies the trigger for Todd’s terrible crime…and it is her mission to find it, and prevent it from taking place.",27574
Killers of a Certain Age,ISBN not found,Deanna Raybourn,"Mystery, Thriller, Fiction, Mystery Thriller, Audiobook, Contemporary, Adult",3.86,"88,225","11,903",368,Hardcover,"First published September 6, 2022","Older women often feel invisible, but sometimes that's their secret weapon.They've spent their lives as the deadliest assassins in a clandestine international organization, but now that they're sixty years old, four women friends can't just retire - it's kill or be killed in this action-packed thriller.Billie, Mary Alice, Helen, and Natalie have worked for the Museum, an elite network of assassins, for forty years. Now their talents are considered old-school and no one appreciates what they have to offer in an age that relies more on technology than people skills.When the foursome is sent on an all-expenses paid vacation to mark their retirement, they are targeted by one of their own. Only the Board, the top-level members of the Museum, can order the termination of field agents, and the women realize they've been marked for death.Now to get out alive they have to turn against their own organization, relying on experience and each other to get the job done, knowing that working together is the secret to their survival. They're about to teach the Board what it really means to be a woman--and a killer--of a certain age.",27321
The It Girl,ISBN not found,Ruth Ware,"Mystery, Thriller, Fiction, Mystery Thriller, Audiobook, Suspense, Adult",3.86,"235,457","20,653",423,Hardcover,"First published July 12, 2022","April Coutts-Cliveden was the first person Hannah Jones met at Oxford.  Vivacious, bright, occasionally vicious, and the ultimate It girl, she quickly pulled Hannah into her dazzling orbit. Together, they developed a group of devoted and inseparable friends—Will, Hugh, Ryan, and Emily—during their first term. By the end of the second, April was dead. Now, a decade later, Hannah and Will are expecting their first child, and the man convicted of killing April, former Oxford porter John Neville, has died in prison. Relieved to have finally put the past behind her, Hannah’s world is rocked when a young journalist comes knocking and presents new evidence that Neville may have been innocent. As Hannah reconnects with old friends and delves deeper into the mystery of April’s death, she realizes that the friends she thought she knew all have something to hide… including a murder.The #1 New York Times bestselling author of One by One returns with an unputdownable mystery following a woman on the search for answers a decade after her friend’s murder. ",25406
